GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ12919.1,PA14_16700,WP_003092485.1,PA14_RS06695,adk,adenylate kinase,OG0002995
ABJ12918.1,PA14_16710,WP_003092483.1,PA14_RS06700,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,OG0002994
ABJ12917.1,PA14_16720,WP_003098661.1,PA14_RS06705,PA14_RS06705,hypothetical protein,OG0002993
ABJ12916.1,PA14_16730,WP_003129902.1,PA14_RS06710,PA14_RS06710,DUF72 domain-containing protein,OG0002992
ABJ12915.1,PA14_16740,WP_003129903.1,PA14_RS06715,PA14_RS06715,isocitrate lyase/phosphoenolpyruvate mutase family protein,OG0002991
ABJ12914.1,PA14_16750,WP_003137975.1,PA14_RS06720,PA14_RS06720,extensin family protein,OG0002990
ABJ12913.1,PA14_16770,WP_003137977.1,PA14_RS06725,PA14_RS06725,class I SAM-dependent methyltransferase,OG0002989
ABJ12912.1,PA14_16780,WP_003137978.1,PA14_RS06730,PA14_RS06730,cytochrome P450,OG0002988
ABJ12911.1,PA14_16790,WP_016253668.1,PA14_RS18940,PA14_RS18940,TetR/AcrR family transcriptional regulator,OG0000260
ABJ12911.1,PA14_16790, WP_003098648.1,,,,OG0000260
ABJ12910.1,PA14_16800,WP_003129909.1,PA14_RS06740,mexJ,multidrug efflux RND transporter periplasmic adaptor subunit MexJ,OG0002987
ABJ12909.1,PA14_16820,WP_003137981.1,PA14_RS06745,mexK,multidrug efflux RND transporter permease subunit MexK,OG0000200
ABJ12908.1,PA14_16830,WP_003092461.1,PA14_RS06750,PA14_RS06750,DUF4197 domain-containing protein,OG0002986
ABJ12907.1,PA14_16840,WP_003137983.1,PA14_RS06755,PA14_RS06755,YbaY family lipoprotein,OG0002985
ABJ12906.1,PA14_16860,WP_003092456.1,PA14_RS06760,plsB,glycerol-3-phosphate 1-O-acyltransferase PlsB,OG0002984
ABJ12905.1,PA14_16870,WP_003138001.1,PA14_RS06765,PA14_RS06765,ABC transporter ATP-binding protein,OG0000199
ABJ12904.1,PA14_16880,WP_003092451.1,PA14_RS06770,PA14_RS06770,ABC transporter permease,OG0000198
ABJ12903.1,PA14_16890,WP_003092447.1,PA14_RS06775,PA14_RS06775,GldG family protein,OG0000197
ABJ12902.1,PA14_16910,WP_003138004.1,PA14_RS06780,PA14_RS06780,DUF4340 domain-containing protein,OG0002983
ABJ12901.1,PA14_16920,WP_003092439.1,PA14_RS06785,PA14_RS06785,SufE family protein,OG0002982
ABJ12900.1,PA14_16930,WP_003098634.1,PA14_RS06790,PA14_RS06790,cysteine desulfurase,OG0002981
ABJ12899.1,PA14_16950,WP_003092431.1,PA14_RS06795,dapD,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,OG0002980
ABJ12898.1,PA14_16960,WP_003109344.1,PA14_RS06800,PA14_RS06800,LysE family translocator,OG0002979
ABJ12897.1,PA14_16970,WP_003092424.1,PA14_RS06805,PA14_RS06805,ArsC family reductase,OG0002978
ABJ12896.1,PA14_16980,WP_003092421.1,PA14_RS06810,PA14_RS06810,YkgJ family cysteine cluster protein,OG0002977
ABJ12895.1,PA14_16990,WP_003138008.1,PA14_RS06815,PA14_RS06815,hypothetical protein,OG0002976
ABJ12894.1,PA14_17000,WP_003092416.1,PA14_RS06820,PA14_RS06820,hypothetical protein,OG0002975
ABJ12893.1,PA14_17010,WP_003109341.1,PA14_RS06825,PA14_RS06825,Na+/H+ antiporter,OG0002974
ABJ12892.1,PA14_17030,WP_003138011.1,PA14_RS06830,dapC,succinyldiaminopimelate transaminase,OG0002973
ABJ12891.1,PA14_17040,WP_003138013.1,PA14_RS06835,PA14_RS06835,[protein-PII] uridylyltransferase,OG0002972
ABJ12890.1,PA14_17050,WP_003092395.1,PA14_RS06840,map,type I methionyl aminopeptidase,OG0000177
ABJ12889.1,PA14_17060,WP_003092394.1,PA14_RS06845,rpsB,30S ribosomal protein S2,OG0002971
ABJ12888.1,PA14_17070,WP_003092393.1,PA14_RS06850,tsf,translation elongation factor Ts,OG0002970
ABJ12887.1,PA14_17080,WP_003092391.1,PA14_RS06855,pyrH,UMP kinase,OG0002969
ABJ12886.1,PA14_17100,WP_003092390.1,PA14_RS06860,frr,ribosome recycling factor,OG0002968
ABJ12885.1,PA14_17110,WP_003129937.1,PA14_RS06865,uppS,polyprenyl diphosphate synthase,OG0002967
ABJ12884.1,PA14_17120,WP_003092388.1,PA14_RS06870,cdsA,phosphatidate cytidylyltransferase,OG0002966
ABJ12883.1,PA14_17130,WP_003109337.1,PA14_RS06875,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,OG0002965
ABJ12882.1,PA14_17140,WP_003138017.1,PA14_RS06880,rseP,sigma E protease regulator RseP,OG0002964
ABJ12881.1,PA14_17150,WP_003138020.1,PA14_RS06885,bamA,outer membrane protein assembly factor BamA,OG0002963
ABJ12880.1,PA14_17170,WP_003098586.1,PA14_RS06890,PA14_RS06890,OmpH family outer membrane protein,OG0002962
ABJ12879.1,PA14_17180,WP_003092378.1,PA14_RS06895,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,OG0002961
ABJ12878.1,PA14_17190,WP_003092375.1,PA14_RS06900,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,OG0002960
ABJ12877.1,PA14_17210,WP_003092373.1,PA14_RS06905,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,OG0002959
ABJ12876.1,PA14_17220,WP_003109334.1,PA14_RS06910,lpxB,lipid-A-disaccharide synthase,OG0002958
ABJ12875.1,PA14_17230,WP_003092371.1,PA14_RS06915,rnhB,ribonuclease HII,OG0002957
ABJ12874.1,PA14_17250,WP_003138024.1,PA14_RS06920,PA14_RS06920,alanine/glycine:cation symporter family protein,OG0002956
ABJ12873.1,PA14_17260,WP_003098578.1,PA14_RS06925,dnaE,DNA polymerase III subunit alpha,OG0002955
ABJ12872.1,PA14_17270,WP_003109333.1,PA14_RS06930,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,OG0002954
ABJ12871.1,PA14_17280,WP_003138026.1,PA14_RS06935,tilS,tRNA lysidine(34) synthetase TilS,OG0002953
ABJ12870.1,PA14_17290,WP_003092366.1,PA14_RS06940,PA14_RS06940,CTP synthase,OG0002952
ABJ12869.1,PA14_17310,WP_003092365.1,PA14_RS06945,kdsA,3-deoxy-8-phosphooctulonate synthase,OG0002951
ABJ12868.1,PA14_17320,WP_003092364.1,PA14_RS06950,eno,phosphopyruvate hydratase,OG0002950
ABJ12867.1,PA14_17330,WP_003098569.1,PA14_RS06955,ftsB,cell division protein FtsB,OG0002949
ABJ12866.1,PA14_17340,WP_003138030.1,PA14_RS06960,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,OG0002948
ABJ12865.1,PA14_17350,WP_003138031.1,PA14_RS06965,yedF,sulfurtransferase-like selenium metabolism protein YedF,OG0002947
ABJ12864.1,PA14_17370,WP_003138032.1,PA14_RS06970,yedE,selenium metabolism membrane protein YedE/FdhT,OG0002946
ABJ12863.1,PA14_17380,WP_003138033.1,PA14_RS06975,gfnR,glutathione-dependent formaldehyde neutralization regulator,OG0002945
ABJ12862.1,PA14_17400,WP_003124150.1,PA14_RS06980,PA14_RS06980,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,OG0002944
ABJ12861.1,PA14_17410,WP_003138034.1,PA14_RS06985,fghA,S-formylglutathione hydrolase,OG0002943
ABJ12860.1,PA14_17420,WP_003092346.1,PA14_RS06990,ispF,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,OG0002942
ABJ12859.1,PA14_17440,WP_003092343.1,PA14_RS06995,truD,tRNA pseudouridine(13) synthase TruD,OG0002941
ABJ12858.1,PA14_17450,WP_003092341.1,PA14_RS07000,surE,5'/3'-nucleotidase SurE,OG0002940
ABJ12857.1,PA14_17460,WP_003098558.1,PA14_RS07005,PA14_RS07005,protein-L-isoaspartate(D-aspartate) O-methyltransferase,OG0002939
ABJ12856.1,PA14_17470,WP_003138035.1,PA14_RS07010,PA14_RS07010,peptidoglycan DD-metalloendopeptidase family protein,OG0002938
ABJ12855.1,PA14_17480,WP_003113871.1,PA14_RS07015,rpoS,RNA polymerase sigma factor RpoS,OG0002937
ABJ12854.1,PA14_17490,WP_003092272.1,PA14_RS07020,PA14_RS07020,ferredoxin family protein,OG0000176
ABJ12853.1,PA14_17500,WP_003122151.1,PA14_RS07025,mutS,DNA mismatch repair protein MutS,OG0002936
ABJ12852.1,PA14_17510,WP_003092265.1,PA14_RS07030,PA14_RS07030,TolB family protein,OG0002935
ABJ12851.1,PA14_17520,WP_003092262.1,PA14_RS07035,PA14_RS07035,CinA family protein,OG0002934
ABJ12850.1,PA14_17530,WP_003092260.1,PA14_RS07040,recA,recombinase RecA,OG0002933
ABJ12849.1,PA14_17540,WP_003138036.1,PA14_RS07045,recX,recombination regulator RecX,OG0002932
ABJ12848.1,PA14_17550,WP_003092255.1,PA14_RS07050,PA14_RS07050,LOG family protein,OG0002931
ABJ12847.1,PA14_17570,WP_003092253.1,PA14_RS07055,PA14_RS07055,MBL fold metallo-hydrolase,OG0002930
ABJ12846.1,PA14_17580,WP_003138037.1,PA14_RS07060,PA14_RS07060,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase,OG0002929
ABJ12845.1,PA14_17590,WP_003092249.1,PA14_RS07065,PA14_RS07065,DUF3820 family protein,OG0002928
ABJ12844.1,PA14_17600,WP_003092248.1,PA14_RS07070,PA14_RS07070,quorum-sensing-regulated virulence factor family protein,OG0002927
ABJ12843.1,PA14_17610,WP_003138038.1,PA14_RS07075,PA14_RS07075,spermidine/putrescine ABC transporter substrate-binding protein,OG0002926
ABJ12842.1,PA14_17620,WP_003092244.1,PA14_RS07080,PA14_RS07080,ABC transporter permease,OG0002925
ABJ12841.1,PA14_17630,WP_003092241.1,PA14_RS07085,PA14_RS07085,ABC transporter permease,OG0002924
ABJ12840.1,PA14_17640,WP_003138039.1,PA14_RS07090,PA14_RS07090,ABC transporter ATP-binding protein,OG0002923
ABJ12839.1,PA14_17650,WP_003138041.1,PA14_RS07095,PA14_RS07095,DTW domain-containing protein,OG0002922
ABJ12838.1,PA14_17660,WP_003119360.1,PA14_RS07100,PA14_RS07100,DMT family transporter,OG0002921
ABJ12837.1,PA14_17670,WP_003092229.1,PA14_RS07105,PA14_RS07105,response regulator transcription factor,OG0002920
ABJ15695.1,PA14_17675,WP_003092226.1,PA14_RS07110,PA14_RS07110,diacylglycerol kinase,OG0005490
ABJ12836.1,PA14_17690,WP_003092223.1,PA14_RS07115,PA14_RS07115,FMN-binding glutamate synthase family protein,OG0002919
ABJ12835.1,PA14_17700,WP_003092213.1,PA14_RS07120,PA14_RS07120,type B 50S ribosomal protein L31,OG0002918
ABJ12834.1,PA14_17710,WP_003092209.1,PA14_RS07125,ykgO,type B 50S ribosomal protein L36,OG0002917
ABJ12833.1,PA14_17720,WP_003092207.1,PA14_RS07130,PA14_RS07130,helix-turn-helix transcriptional regulator,OG0002916
ABJ12832.1,PA14_17730,WP_003092205.1,PA14_RS07135,PA14_RS07135,carbon-nitrogen hydrolase family protein,OG0002915
ABJ12831.1,PA14_17740,WP_003138044.1,PA14_RS07140,PA14_RS07140,APC family permease,OG0000147
ABJ12830.1,PA14_17760,WP_003119362.1,PA14_RS07145,PA14_RS07145,trifunctional transcriptional activator/DNA repair protein Ada/methylated-DNA--[protein]-cysteine S-methyltransferase,OG0002914
ABJ12829.1,PA14_17780,WP_003138045.1,PA14_RS07150,PA14_RS07150,MFS transporter,OG0002913
ABJ12828.1,PA14_17790,WP_003092195.1,PA14_RS07155,PA14_RS07155,LysR substrate-binding domain-containing protein,OG0002912
ABJ12827.1,PA14_17810,WP_003138046.1,PA14_RS07160,PA14_RS07160,acyl-CoA dehydrogenase family protein,OG0002911
ABJ12826.1,PA14_17820,WP_003138047.1,PA14_RS07165,PA14_RS07165,CaiB/BaiF CoA-transferase family protein,OG0002910
ABJ12825.1,PA14_17850,WP_011666583.1,PA14_RS07170,PA14_RS07170,enoyl-CoA hydratase,OG0000103
ABJ12824.1,PA14_17860,WP_003138050.1,PA14_RS07175,PA14_RS07175,3-hydroxyacyl-CoA dehydrogenase,OG0000102
ABJ12823.1,PA14_17880,WP_003098466.1,PA14_RS07180,PA14_RS07180,3-oxoadipyl-CoA thiolase,OG0000196
ABJ12822.1,PA14_17890,WP_003138051.1,PA14_RS07185,PA14_RS07185,OprD family porin,OG0000000
ABJ12821.1,PA14_17900,WP_003109716.1,PA14_RS07190,metR,transcriptional regulator MetR,OG0002909
ABJ12820.1,PA14_17910,WP_003098462.1,PA14_RS07195,PA14_RS07195,alpha/beta hydrolase,OG0002908
ABJ12819.1,PA14_17920,WP_003119370.1,PA14_RS07200,PA14_RS07200,GlpM family protein,OG0002907
ABJ12818.1,PA14_17930,WP_003109717.1,PA14_RS07205,glpD,glycerol-3-phosphate dehydrogenase,OG0002906
ABJ12817.1,PA14_17940,WP_003092173.1,PA14_RS07210,PA14_RS07210,DeoR/GlpR family transcriptional regulator,OG0002905
ABJ12816.1,PA14_17960,WP_003092168.1,PA14_RS07215,glpK,glycerol kinase GlpK,OG0000195
ABJ12815.1,PA14_17980,WP_003092166.1,PA14_RS07220,glpF,glycerol uptake facilitator protein GlpF,OG0002904
ABJ12814.1,PA14_17990,WP_003092163.1,PA14_RS07225,ybaK,Cys-tRNA(Pro) deacylase,OG0002903
ABJ12813.1,PA14_18010,WP_003138054.1,PA14_RS07230,glpK,glycerol kinase GlpK,OG0000195
ABJ12812.1,PA14_18020,WP_003138056.1,PA14_RS07235,PA14_RS07235,PhzF family phenazine biosynthesis protein,OG0000178
ABJ12811.1,PA14_18040,,,,,
ABJ12810.1,PA14_18050,WP_003117503.1,PA14_RS07245,PA14_RS07245,hypothetical protein,OG0002902
ABJ12809.1,PA14_18060,WP_003092155.1,PA14_RS07250,PA14_RS07250,cytochrome b,OG0002901
ABJ12808.1,PA14_18070,WP_003111818.1,PA14_RS07255,PA14_RS07255,cation transporter,OG0002900
ABJ12807.1,PA14_18080,WP_003092152.1,PA14_RS07260,nalD,efflux system transcriptional repressor NalD,OG0002899
ABJ12806.1,PA14_18090,WP_003092150.1,PA14_RS07265,PA14_RS07265,multidrug effflux MFS transporter,OG0002898
ABJ12805.1,PA14_18100,WP_003104346.1,PA14_RS07270,PA14_RS07270,hypothetical protein,OG0002897
ABJ12804.1,PA14_18110,WP_003138059.1,PA14_RS07275,mmsR,MmsAB operon transcriptional regulator MmsR,OG0002896
ABJ12803.1,PA14_18120,WP_003092142.1,PA14_RS07280,mmsA,CoA-acylating methylmalonate-semialdehyde dehydrogenase,OG0000014
ABJ12802.1,PA14_18140,WP_003130016.1,PA14_RS07285,mmsB,3-hydroxyisobutyrate dehydrogenase,OG0000042
ABJ12801.1,PA14_18150,WP_003138062.1,PA14_RS07290,PA14_RS07290,propionyl-CoA synthetase,OG0002895
ABJ12800.1,PA14_18160,WP_003104356.1,PA14_RS07295,PA14_RS07295,zinc-binding alcohol dehydrogenase family protein,OG0002894
ABJ12799.1,PA14_18180,WP_003104358.1,PA14_RS07300,PA14_RS07300,putative quinol monooxygenase,OG0002893
ABJ12798.1,PA14_18200,WP_003138065.1,PA14_RS07305,PA14_RS07305,LysR family transcriptional regulator,OG0002892
ABJ12797.1,PA14_18210,WP_016254276.1,PA14_RS07315,PA14_RS07315,TatD family hydrolase,OG0002891
ABJ12796.1,PA14_18230,WP_003104372.1,PA14_RS07320,cra,catabolite repressor/activator,OG0002890
ABJ12795.1,PA14_18250,WP_003138070.1,PA14_RS07325,ptsP,phosphoenolpyruvate--protein phosphotransferase,OG0002889
ABJ12794.1,PA14_18260,WP_003138072.1,PA14_RS07330,pfkB,1-phosphofructokinase,OG0002888
ABJ15652.1,PA14_18275,WP_003107161.1,PA14_RS07335,PA14_RS07335,PTS fructose-like transporter subunit IIB,OG0005456
ABJ12793.1,PA14_18300,WP_003117510.1,PA14_RS07340,PA14_RS07340,UDP-glucose 6-dehydrogenase,OG0000128
ABJ12792.1,PA14_18310,WP_003138074.1,PA14_RS07345,arnF,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,OG0002887
ABJ12791.1,PA14_18320,WP_003138076.1,PA14_RS07350,PA14_RS07350,EamA family transporter,OG0002886
ABJ12790.1,PA14_18330,WP_003138078.1,PA14_RS07355,arnT,lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase,OG0002885
ABJ12789.1,PA14_18340,WP_003138080.1,PA14_RS07360,arnD,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase,OG0002884
ABJ12788.1,PA14_18350,WP_003092116.1,PA14_RS07365,arnA,bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA,OG0002883
ABJ12787.1,PA14_18360,WP_003092115.1,PA14_RS07370,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,OG0002882
ABJ12786.1,PA14_18370,WP_003130049.1,PA14_RS07375,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,OG0002881
ABJ12785.1,PA14_18380,WP_003092113.1,PA14_RS07380,PA14_RS07380,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,OG0002880
ABJ12784.1,PA14_18410,WP_003138083.1,PA14_RS07385,algF,alginate O-acetyltransferase AlgF,OG0002879
ABJ12783.1,PA14_18430,WP_003092111.1,PA14_RS07390,algJ,alginate O-acetyltransferase,OG0002878
ABJ12782.1,PA14_18450,WP_003138085.1,PA14_RS07395,PA14_RS07395,MBOAT family protein,OG0002877
ABJ12781.1,PA14_18470,WP_003092108.1,PA14_RS07400,algL,alginate biosynthesis protein AlgL,OG0002876
ABJ12780.1,PA14_18480,WP_003092107.1,PA14_RS07405,algX,alginate biosynthesis protein AlgX,OG0002875
ABJ12779.1,PA14_18500,WP_003138099.1,PA14_RS07410,algG,mannuronan 5-epimerase AlgG,OG0002874
ABJ12778.1,PA14_18510,WP_003138101.1,PA14_RS07415,algE,outer membrane porin AlgE,OG0002873
ABJ12777.1,PA14_18520,WP_003110463.1,PA14_RS07420,algK,alginate biosynthesis TPR repeat lipoprotein AlgK,OG0002872
ABJ12776.1,PA14_18550,WP_003092101.1,PA14_RS07425,alg44,alginate biosynthesis protein Alg44,OG0002871
ABJ15686.1,PA14_18565,WP_003138103.1,PA14_RS07430,alg8,mannuronan synthase,OG0005482
ABJ12775.1,PA14_18580,WP_003110461.1,PA14_RS07435,algD,GDP-mannose 6-dehydrogenase,OG0002870
ABJ12774.1,PA14_18590,WP_003138105.1,PA14_RS07440,yaaA,peroxide stress protein YaaA,OG0002869
ABJ12773.1,PA14_18600,WP_003092092.1,PA14_RS07445,PA14_RS07445,ABC transporter ATP-binding protein,OG0002868
ABJ12772.1,PA14_18610,WP_003092090.1,PA14_RS07450,argF,ornithine carbamoyltransferase,OG0002867
ABJ12771.1,PA14_18620,WP_016254274.1,PA14_RS07455,PA14_RS07455,hypothetical protein,OG0002866
ABJ12770.1,PA14_18630,WP_003138109.1,PA14_RS07460,PA14_RS07460,autotransporter domain-containing protein,OG0002865
ABJ12769.1,PA14_18640,WP_003138110.1,PA14_RS07465,PA14_RS07465,molybdopterin oxidoreductase family protein,OG0002864
ABJ12768.1,PA14_18650,WP_003092082.1,PA14_RS07470,grxD,Grx4 family monothiol glutaredoxin,OG0002863
ABJ12767.1,PA14_18660,WP_003104266.1,PA14_RS07475,PA14_RS07475,MFS transporter,OG0002862
ABJ12766.1,PA14_18670,WP_003092078.1,PA14_RS07480,bfrB,bacterioferritin BfrB,OG0002861
ABJ12765.1,PA14_18680,WP_003092075.1,PA14_RS07485,PA14_RS07485,bacterioferritin-associated ferredoxin,OG0002860
ABJ12764.1,PA14_18690,WP_003092073.1,PA14_RS07490,PA14_RS07490,peroxiredoxin C,OG0000047
ABJ12763.1,PA14_18700,WP_003092070.1,PA14_RS07495,rnt,ribonuclease T,OG0002859
ABJ12762.1,PA14_18710,WP_003138114.1,PA14_RS07500,pyrC,dihydroorotase,OG0002858
ABJ12761.1,PA14_18720,WP_003138116.1,PA14_RS07505,motY,flagellar protein MotY,OG0002857
ABJ12760.1,PA14_18740,WP_003092065.1,PA14_RS07510,PA14_RS07510,argininosuccinate synthase,OG0002856
ABJ12759.1,PA14_18750,WP_003110007.1,PA14_RS07515,gloA,lactoylglutathione lyase,OG0000041
ABJ12758.1,PA14_18760,WP_003138118.1,PA14_RS07520,mexP,multidrug efflux RND transporter periplasmic adaptor subunit MexP,OG0002855
ABJ12757.1,PA14_18780,WP_003138121.1,PA14_RS07525,mexQ,multidrug efflux RND transporter permease subunit MexQ,OG0000168
ABJ12756.1,PA14_18790,WP_003138123.1,PA14_RS07530,opmE,multidrug efflux transporter outer membrane subunit OpmE,OG0002854
ABJ12755.1,PA14_18800,WP_003092060.1,PA14_RS07535,PA14_RS07535,heavy-metal-associated domain-containing protein,OG0002853
ABJ12754.1,PA14_18810,WP_003138125.1,PA14_RS07540,PA14_RS07540,iron-containing redox enzyme family protein,OG0002852
ABJ12753.1,PA14_18820,WP_003138127.1,PA14_RS07545,PA14_RS07545,iron-containing redox enzyme family protein,OG0002851
ABJ12752.1,PA14_18830,WP_003138129.1,PA14_RS07550,purB,adenylosuccinate lyase,OG0002850
ABJ12751.1,PA14_18850,WP_003138131.1,PA14_RS07555,PA14_RS07555,adenylosuccinate lyase family protein,OG0002849
ABJ12750.1,PA14_18860,WP_003092054.1,PA14_RS07560,PA14_RS07560,class I SAM-dependent methyltransferase,OG0002848
ABJ12749.1,PA14_18870,WP_003092052.1,PA14_RS07565,PA14_RS07565,hypothetical protein,OG0002847
ABJ12748.1,PA14_18880,WP_003092050.1,PA14_RS07570,nth,endonuclease III,OG0002846
ABJ12747.1,PA14_18890,WP_003092049.1,PA14_RS07575,PA14_RS07575,electron transport complex subunit E,OG0002845
ABJ12746.1,PA14_18900,WP_003092047.1,PA14_RS07580,rsxG,electron transport complex subunit RsxG,OG0002844
ABJ12745.1,PA14_18910,WP_003092045.1,PA14_RS07585,PA14_RS07585,RnfABCDGE type electron transport complex subunit D,OG0002843
ABJ12744.1,PA14_18920,WP_003138135.1,PA14_RS07590,rsxC,electron transport complex subunit RsxC,OG0002842
ABJ12743.1,PA14_18930,WP_003092043.1,PA14_RS07595,rsxB,electron transport complex subunit RsxB,OG0002841
ABJ12742.1,PA14_18950,WP_003092041.1,PA14_RS07600,rsxA,electron transport complex subunit RsxA,OG0002840
ABJ12741.1,PA14_18960,WP_003109999.1,PA14_RS07605,PA14_RS07605,T6SS immunity protein Tli4 family protein,OG0002839
ABJ12740.1,PA14_18970,WP_003138138.1,PA14_RS07610,pldA,phospholipase D,OG0002838
ABJ15661.1,PA14_18985,,,,,
ABJ12739.1,PA14_19010,WP_003138169.1,PA14_RS07620,tsi3,T6SS effector muramidase immunity protein Tsi3,OG0002837
ABJ12738.1,PA14_19020,WP_003138171.1,PA14_RS07625,tse3,type VI secretion system effector muramidase Tse3,OG0002836
ABJ12737.1,PA14_19030,WP_003138174.1,PA14_RS07630,PA14_RS07630,DUF4349 domain-containing protein,OG0002835
ABJ12736.1,PA14_19050,WP_003092021.1,PA14_RS07635,metG,methionine--tRNA ligase,OG0002834
ABJ15685.1,PA14_19065,WP_003092020.1,PA14_RS07640,apbC,iron-sulfur cluster carrier protein ApbC,OG0005481
ABJ12735.1,PA14_19090,WP_003092017.1,PA14_RS07645,dcd,dCTP deaminase,OG0002833
ABJ12734.1,PA14_19100,WP_003092013.1,PA14_RS07650,rhlA,3-(3-hydroxydecanoyloxy)decanoate synthase,OG0002832
ABJ12733.1,PA14_19110,WP_003092007.1,PA14_RS07655,PA14_RS07655,glycosyltransferase,OG0002831
ABJ12732.1,PA14_19120,WP_003119559.1,PA14_RS07660,rhlR,transcriptional regulator RhlR,OG0002830
ABJ12731.1,PA14_19130,WP_003138177.1,PA14_RS07665,rhlI,acyl-homoserine-lactone synthase,OG0002829
ABJ12730.1,PA14_19140,WP_003138179.1,PA14_RS07670,pheC,cyclohexadienyl dehydratase,OG0002828
ABJ12729.1,PA14_19150,WP_003092000.1,PA14_RS07675,PA14_RS07675,carboxylate/amino acid/amine transporter,OG0002827
ABJ12728.1,PA14_19160,WP_003138181.1,PA14_RS07680,rarD,EamA family transporter RarD,OG0002826
ABJ12727.1,PA14_19170,WP_003103763.1,PA14_RS07685,PA14_RS07685,C40 family peptidase,OG0002825
ABJ12726.1,PA14_19190,WP_003091987.1,PA14_RS07690,PA14_RS07690,NAD-dependent malic enzyme,OG0002824
ABJ15694.1,PA14_19205,WP_003138184.1,PA14_RS07695,PA14_RS07695,NUDIX domain-containing protein,OG0005489
ABJ12725.1,PA14_19210,WP_003111057.1,PA14_RS07700,PA14_RS07700,dihydrofolate reductase family protein,OG0002823
ABJ12724.1,PA14_19230,WP_003091979.1,PA14_RS07705,PA14_RS07705,mechanosensitive ion channel family protein,OG0002822
ABJ12723.1,PA14_19270,WP_003091973.1,PA14_RS07710,PA14_RS07710,MFS transporter,OG0002821
ABJ12722.1,PA14_19290,WP_003138186.1,PA14_RS07715,PA14_RS07715,DEAD/DEAH box helicase,OG0002820
ABJ12721.1,PA14_19310,WP_003138189.1,PA14_RS07720,PA14_RS07720,MFS transporter,OG0002819
ABJ12720.1,PA14_19320,WP_003130162.1,PA14_RS07725,PA14_RS07725,phospholipase,OG0002818
ABJ12719.1,PA14_19330,WP_003091959.1,PA14_RS07730,PA14_RS07730,YheU family protein,OG0002817
ABJ12718.1,PA14_19340,WP_003138191.1,PA14_RS07735,PA14_RS07735,hybrid sensor histidine kinase/response regulator,OG0002816
ABJ12717.1,PA14_19350,WP_003111432.1,PA14_RS07740,PA14_RS07740,osmoprotectant NAGGN system M42 family peptidase,OG0002815
ABJ12716.1,PA14_19360,WP_003111433.1,PA14_RS07745,ngg,N-acetylglutaminylglutamine synthetase,OG0002814
ABJ12715.1,PA14_19370,WP_003106635.1,PA14_RS07750,PA14_RS07750,N-acetylglutaminylglutamine amidotransferase,OG0002813
ABJ12714.1,PA14_19380,WP_003091943.1,PA14_RS07755,PA14_RS07755,MarR family transcriptional regulator,OG0002812
ABJ12713.1,PA14_19390,WP_003117537.1,PA14_RS07760,PA14_RS07760,sulfite exporter TauE/SafE family protein,OG0002811
ABJ12712.1,PA14_19400,WP_003138195.1,PA14_RS07765,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,OG0002810
ABJ12711.1,PA14_19410,WP_003091935.1,PA14_RS07770,pap,polyphosphate:AMP phosphotransferase,OG0002809
ABJ12710.1,PA14_19430,WP_003102299.1,PA14_RS07775,PA14_RS07775,thiolase family protein,OG0002808
ABJ12709.1,PA14_19450,WP_003138197.1,PA14_RS07780,PA14_RS07780,DUF480 domain-containing protein,OG0002807
ABJ12708.1,PA14_19470,WP_003091930.1,PA14_RS07785,PA14_RS07785,malate:quinone oxidoreductase,OG0000194
ABJ12707.1,PA14_19480,WP_003091929.1,PA14_RS07790,PA14_RS07790,DUF6316 family protein,OG0002806
ABJ12706.1,PA14_19490,WP_003091927.1,PA14_RS07795,PA14_RS07795,peroxiredoxin,OG0002805
ABJ12705.1,PA14_19500,WP_003138200.1,PA14_RS07800,PA14_RS07800,aliphatic sulfonate ABC transporter substrate-binding protein,OG0002804
